finalCellCounts,timeList,perimeterList,areaList,convexityList,solidityList,compactnessList,roundnessList,elongationList,holesList,meanLengthsList,stdDevLengthList,direction,directionType,concentrations,strength,diffusion,boundary_fluctuations
13063,320000,673.2518754031112,13103.5,0.6640322632245489,0.9170902410218276,0.3632804554331616,0.8238794522909108,1.0075187969924813,13,0.8612579423431836,0.060537568368219996,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0702897069413587
13119,320000,683.3940110268422,13164.125,0.6594423407565476,0.9268797141373514,0.3542089450518649,0.8145277178818529,1.0930232558139534,20,0.85515235874299,0.06746969433926057,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07889786381275493
13327,320000,667.7371567773498,13368.25,0.6727867816976522,0.925747030919982,0.3767674150948945,0.8323738637976837,1.0223880597014925,13,0.8742660008529051,0.05471804416880924,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.06258740945596435
13273,320000,681.0508652763347,13314.125,0.662362563655813,0.9119732178022844,0.3607143301670855,0.8221893352162777,1.0147058823529411,11,0.8506605616081104,0.07369561028169967,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08663339245724946
13557,320000,694.4650788387077,13599.75,0.6629797806008343,0.9236293868957672,0.35435614197922477,0.8061936952946132,1.037313432835821,14,0.8632327256580322,0.0738009882224725,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0854937330674238
13205,320000,629.7960312803953,13244.375,0.7084415314736471,0.9383274736758207,0.4196058107536908,0.8360523410407221,1.0692307692307692,15,0.8901129984627372,0.07611797034002288,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08551495200214111
13402,320000,686.4650788387077,13445.25,0.6611980822632528,0.9267872375257412,0.35854349503379546,0.8201224058915676,1.0895522388059702,15,0.8699784776851085,0.07199681901382379,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08275701165090578
13260,320000,645.4945160902305,13301.75,0.7026982680287812,0.9271450477451733,0.4011746951336552,0.8124483575140211,1.044776119402985,14,0.8666958511063364,0.0678223436744842,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07825391524363368
13194,320000,663.979797464469,13238.5,0.6719687355249447,0.9316408483536976,0.37734527191923056,0.8356814811470983,1.0458015267175573,18,0.8952455457050554,0.06313662075555372,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07052436178929004
13244,320000,638.2813126546338,13284.875,0.7024718821522115,0.926929886531132,0.4097727528974754,0.8303958815287137,1.1732283464566928,17,0.8537038305640248,0.07102109348256291,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08319172403811369
13024,320000,653.9381669041262,13064.625,0.6825045900791924,0.9209438800236146,0.3839135507222227,0.8241804115703141,1.0610687022900764,15,0.8539005085605919,0.07758065413551402,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.09085444189076622
13301,320000,671.8792924010809,13349.375,0.6647285022494699,0.9272653075400271,0.3716107636589917,0.8410071403125121,1.1171875,25,0.8929489222653746,0.06715843970597972,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07520972144252275
13476,320000,686.4650788387078,13515.25,0.665793114158957,0.9288672015944743,0.36041017989665514,0.8130522402582395,1.0746268656716418,7,0.8426977325790491,0.07297801550194108,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08660046500729772
13465,320000,640.2813126546338,13507.0,0.7143799190361976,0.928276276792234,0.41402551936652476,0.8112760108952792,1.0,19,0.8840368597472548,0.06620400752991247,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07488828864991005
13519,320000,692.3645737753195,13562.625,0.6627432624336276,0.9250266422268639,0.35553629425571714,0.8094560974242618,1.0073529411764706,14,0.8418367509281126,0.08560422753792346,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.10168744408407694
13530,320000,689.0508652763345,13573.125,0.6633800494846311,0.9161590253286309,0.3592420349991471,0.8163235678756829,1.0071428571428571,14,0.8960950331750777,0.06664193361964338,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07436927016938724
13368,320000,613.6538956566642,13407.875,0.728359201569843,0.9395189545231588,0.4474276564660215,0.8433961281693675,1.0215827338129497,19,0.8666230649220723,0.06435045752800873,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07425426362705359
13239,320000,640.0386719675146,13279.625,0.6954307866057099,0.9391365074874913,0.4073645609533213,0.8423167143824057,1.0526315789473684,17,0.8897945085491294,0.0753555650100626,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08468872788722306
13229,320000,638.2813126546339,13267.375,0.706142905733902,0.9326391634813936,0.40923296436535084,0.8207018433861226,1.146153846153846,12,0.842266869071283,0.0742040228013628,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08810036999696202
13487,320000,668.0803025278573,13530.125,0.6880735471510201,0.9262054507337526,0.3809380358931331,0.8046084971036999,1.1538461538461537,18,0.8105666056751166,0.11003827925612224,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.13575476522928295
13311,320000,675.4945160902305,13351.75,0.6720852470571232,0.9209056109252681,0.36770911939802575,0.8140586139505527,1.0144927536231885,13,0.8756155346809953,0.05848040732906082,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.06678776816170402
13333,320000,715.7787873376926,13378.25,0.638691002995325,0.9207804945196758,0.3281342202856507,0.8043960462744221,1.1119402985074627,17,0.8304380974021585,0.07483780077428934,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.09011845796622628
13400,320000,680.8082245892152,13441.25,0.6695432027732019,0.9240909911226077,0.3644180966827168,0.8129104840703464,1.0300751879699248,12,0.8849360318020795,0.07236536742832085,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08177468746634303
13165,320000,663.2518754031111,13208.75,0.6744098642153966,0.9217872221640672,0.3773241576007215,0.8295962560788626,1.0757575757575757,19,0.8798053370757064,0.061403747088511436,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.06979242396119689
13341,320000,670.0803025278574,13386.625,0.6769157021442579,0.9271157974929012,0.37465131234112414,0.8176323787401001,1.0740740740740742,23,0.8410803160180915,0.07905996357041792,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.09399811416906034
13515,320000,681.293505963454,13561.0,0.6650011523350745,0.9296554324447073,0.36714116476478054,0.8302106221452624,1.0588235294117647,19,0.8834946778920633,0.06840393269373668,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0774242725003643
13129,320000,614.4823227814104,13168.625,0.7210990140428618,0.938654953044532,0.43825966964108864,0.8428333338652538,1.0597014925373134,18,0.8746657492363056,0.07435206697228768,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08500626329224219
13354,320000,665.3940110268422,13397.75,0.6800108997197152,0.9269073109984952,0.38026290219211056,0.8223415052279539,1.0514705882352942,17,0.893592428905447,0.06689607461040491,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07486195321993191
13297,320000,672.6072144624387,13341.25,0.6771966812448298,0.9192066212503552,0.37058116635333116,0.8080787786483153,1.0220588235294117,14,0.8690844114762725,0.06217546875653794,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07154134619780307
13179,320000,693.979797464469,13218.5,0.6458870143727818,0.9250255862979907,0.3449041212092794,0.8267710813217729,1.1145038167938932,9,0.8679417448388914,0.06520422643204883,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07512511849991975
13233,320000,669.4945160902304,13278.375,0.6696590243949339,0.9208943061238644,0.37227231980484515,0.8301437336369272,1.1363636363636365,22,0.8311236287341204,0.05718967196308605,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.06881006625956636
13395,320000,664.8082245892152,13440.25,0.68140265912168,0.9256928361729787,0.38214171101929095,0.8230321412794316,1.1496062992125984,20,0.8478612732149582,0.07534176650344152,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08886095978621272
13407,320000,639.5950211536187,13453.0,0.7037115501365345,0.9336120822020004,0.41325570474989604,0.8345060681000513,1.0656934306569343,25,0.866166478586408,0.06579558092905159,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07596181860608438
13509,320000,638.3818177180221,13545.75,0.707264218413922,0.9338837277443596,0.4176879073408603,0.8350039462610006,1.0291970802919708,10,0.853034537416255,0.06067768734455826,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07113157168095925
13127,320000,646.7665940288725,13167.25,0.6923500575626017,0.9357555298925113,0.3955576472109119,0.8251982907423752,1.0073529411764706,14,0.8868843051450442,0.0613456216721234,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.06916981314951866
13261,320000,628.0386719675146,13302.625,0.7094248615655064,0.9352321361091827,0.4238131613120137,0.8420960518209487,1.1162790697674418,19,0.8877964944166296,0.0678726088536932,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07645063849716172
13698,320000,682.9503602129463,13741.625,0.6643927355183399,0.9282294630719479,0.37022835716783126,0.8387256589138764,1.0217391304347827,13,0.8732754706653078,0.06487747552796505,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07429210793993553
13474,320000,634.825468531918,13509.125,0.7138363126096036,0.9297241960737083,0.4212388325940108,0.8266680014108319,1.0074074074074073,10,0.8718125972300956,0.054990881729524994,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0630764936228736
13467,320000,694.7493500861699,13510.5,0.6592160160717385,0.9176146975922844,0.3517426145703048,0.8094117169585798,1.0,10,0.8734736817800562,0.06882957158977704,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07879982308054082
13277,320000,659.4528855298877,13313.625,0.6854644800429648,0.9263182612779503,0.3847145735850463,0.8187828325188903,1.0072463768115942,9,0.9011490777644466,0.054916822544461584,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.06094088525363438
13250,320000,660.423448278365,13293.0,0.681428756755607,0.9202731119707157,0.3829904103576646,0.8247968346770543,1.037037037037037,18,0.8577329760102268,0.06967945015561829,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08123676261082388
13233,320000,657.1097397793801,13273.25,0.683541034954513,0.92662792118261,0.38628810006859865,0.8267651202882247,1.0444444444444445,15,0.8702085628616748,0.06215177391404591,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07142169885074473
13252,320000,692.1219330882002,13296.75,0.6529644599076697,0.9220727436635345,0.34881097670036243,0.8181087840106964,1.0296296296296297,17,0.8022966150606375,0.11208697827291676,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.13970765446199127
13365,320000,674.2224381515883,13410.5,0.6658319354530833,0.9275567813388897,0.37072206108387584,0.8362173766989132,1.036231884057971,20,0.8503235921132395,0.08438855193611675,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.09924286791384065
